link,title,price,address,owner,baths,postDate,furnished,pets,beds,sizeSF,sizeAC
http://www.kijiji.ca//v-room-rental-roommate/guelph/lots-of-room-roommate-wanted/1144415224,Lots of room (roommate wanted),$495.00,Guelph   on,,,02-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/huge-master-bdrm-with-attached-bathroom-may-2016/1144426221,Huge master bdrm with attached bathroom -May 2016,$580.00,"Goodwin Dr, Guelph, ON N1L, Canada",,,02-Mar-16,No,No,,,
http://www.kijiji.ca//v-1-bedroom-apartments-condos/guelph/brand-new-2nd-storey-unit-downtown-in-heritage-home-w-parking/1144418432,Brand New 2nd Storey Unit Downtown in Heritage Home w/ Parking.,"$1,385.00","34 Duke St, Guelph, ON N1E 5K9, Canada",Owner,1 bathroom,02-Mar-16,No,,,,
http://www.kijiji.ca//v-2-bedroom-apartments-condos/guelph/two-bedroom-apartment-for-rent-950-hydro/1144412693,TWO  Bedroom Apartment for Rent $950+Hydro,$950.00,"26 Gordon St, Guelph, ON N1H 4G7, Canada",Owner,1 bathroom,02-Mar-16,No,Yes,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/3-brs-fully-furnished-util-internet-inc-walk-10-min-to-uofg/1144416171,"3 brs ,fully furnished ,util ,internet inc, walk 10 min to UofG,",$450.00,"107 Hands Dr, Guelph, ON N1G 4N1, Canada",,,02-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-commercial-office-space/guelph/the-new-petrie-a-b-petrie-office-2nd-floor/1144427384,The New Petrie - A.B. Petrie Office 2nd Floor,"$2,750.00","17 Wyndham St N, Guelph, ON N1H 4E4, Canada",Owner,,02-Mar-16,No,,,1500,
http://www.kijiji.ca//v-2-bedroom-apartments-condos/guelph/avalon-on-the-parkway:-apartment-for-rent-in-guelph-pet/1138017613,Avalon on the Parkway: Apartment for rent in Guelph - Pet...,"$1,260.00","100  Silvercreek Pkwy North, Guelph, ON, N1H 7E9",Professional,1 bathroom,02-Mar-16,No,Yes,,,
http://www.kijiji.ca//v-house-for-sale/guelph/232-cole-road-guelph-a-great-place-to-call-home/1144429443,"232 Cole Road Guelph, A Great Place To Call Home","$339,900.00","232 Cole Rd, Guelph, ON N1G 3K4, Canada",Professional,2 bathrooms,02-Mar-16,,,4 bedrooms,,
http://www.kijiji.ca//v-house-for-sale/guelph/60-northumberland-street-guelph-fantastic-opportunity/1144426495,"60 Northumberland Street Guelph, Fantastic Opportunity!","$319,900.00","60 Northumberland St, Guelph, ON N1H 3A7, Canada",Professional,1 bathroom,02-Mar-16,,,4 bedrooms,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/one-room-for-rent-biggest-in-the-house-university-of-guelph/1144563777,one room for rent biggest in the house university of guelph,$540.00,"409  cole rd , guelph n1g3h4 ON",,,02-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-house-rental/guelph/4-good-size-bedroom-house-in-good-location/1144565443,4 good size bedroom house in good location,Please Contact,"565 College Ave W, Guelph, ON N1G 2Z6, Canada",Owner,1.5 bathrooms,02-Mar-16,No,No,4 bedrooms,1450,
http://www.kijiji.ca//v-room-rental-roommate/guelph/seeking-summer-sublet/1144518050,SEEKING SUMMER SUBLET,$500.00,"35 Drohan Dr, Guelph, ON N1G 5J8, Canada",,,02-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/large-room-in-4-br-townhouse-470-all-inclusive/1144565580,"Large Room in 4 BR Townhouse, $470, all Inclusive,",$470.00,"101 Dovercliffe Rd, Guelph, ON N1G 3A5, Canada",,,02-Mar-16,Yes,Yes,,,
http://www.kijiji.ca//v-house-rental/guelph/1600-sq-ft-3-bedrooms-house-for-lease/1144570112,1600 sq/ft 3 bedrooms house for Lease,"$1,360.00","155 Dufferin St, Guelph, ON N1H 4B2, Canada",Owner,2 bathrooms,02-Mar-16,No,Yes,3 bedrooms,1600,
http://www.kijiji.ca//v-room-rental-roommate/guelph/5min-walk-to-uog-dt-legal-student-house/1144568845,5min walk to UoG & dt Legal Student House,$550.00,"6 Terrace Ln, Guelph, ON N1G 2Y3, Canada",,,02-Mar-16,Yes,No,,,
http://www.kijiji.ca//v-room-rental-roommate/guelph/downtown-house-special-promotion-400-inclusive-each-room/1144186386,Downtown House  special Promotion $400 Inclusive Each Room,$400.00,"Guelph, ON  N1C1E1",,,01-Mar-16,No,No,,,
http://www.kijiji.ca//v-house-for-sale/guelph/life-in-the-country-without-being-remote/1144005260,LIFE IN THE COUNTRY WITHOUT BEING REMOTE!,"$799,000.00","8 Huntsman Gate, Flamborough L8N 2Z7 ON",Professional,3 bathrooms,29-Feb-16,,,5 bedrooms,,
http://www.kijiji.ca//v-house-rental/guelph/entire-home-exhibition-park-may-1st/1144006792,Entire Home Exhibition Park May 1st,"$1,250.00",", Guelph, ON",Owner,2 bathrooms,29-Feb-16,Yes,Yes,3 bedrooms,1000,
http://www.kijiji.ca//v-2-bedroom-apartments-condos/guelph/2-bedroom-den-condo-apartment-60-lynnmore-street/1144008350,2 Bedroom (+Den) Condo Apartment - 60 Lynnmore Street,"$1,299.00","60 Lynnmore Street, Guelph N1L 0J8 ON",Owner,1 bathroom,29-Feb-16,No,No,,,
http://www.kijiji.ca//v-2-bedroom-apartments-condos/guelph/2-bedroom-condo-apartment-the-grandview-1440-gordon-street/1144009135,2 Bedroom Condo Apartment - The Grandview - 1440 Gordon Street,"$1,250.00","1440 Gordon St, Guelph, ON N1L 1C8, Canada",Owner,1 bathroom,29-Feb-16,No,No,,,
